roll_no,sub_code,internal_marks,external_marks,sgpa,total_marks
1783930005,RME151,44,43,7.46,87
1783930005,RCS151,44,39,7.46,83
1783930005,RCE151,44,40,7.46,84
1783930005,RAS203,22,63,7.92,85
1783930005,RAS201,20,47,7.92,67
1783930005,REE201,23,41,7.92,64
1783930005,RAS204,26,46,7.92,72
1783930005,REC201,30,38,7.92,68
1783930005,RAS251,46,42,7.92,88
1783930005,REE251,47,47,7.92,94
1783930005,RAS254,40,46,7.92,86
1783930005,RME252,46,40,7.92,86
1783930005,RAS301,20,63,7.33,83
1783930005,RVE301,21,28,7.33,49
1783930005,REE305,28,46,7.33,74
1783930005,REC301,20,37,7.33,57
1783930005,REC302,19,39,7.33,58
1783930005,REC303,23,56,7.33,79
1783930005,REC351,41,45,7.33,86
1783930005,REC352,42,35,7.33,77
1783930005,REC353,49,46,7.33,95
1783930005,REC354,38,39,7.33,77
1783930005,ROE047,22,48,7.71,70
1783930005,RAS402,16,43,7.71,59
1783930005,REC401,19,41,7.71,60
1783930005,REC402,21,51,7.71,72
1783930005,REC403,22,40,7.71,62
1783930005,RCS406,23,56,7.71,79
1783930005,REC451,41,35,7.71,76
1783930005,REC452,42,43,7.71,85
1783930005,REC453,47,44,7.71,91
1783930005,RCS456,47,46,7.71,93
1783930005,RAS501,23,34,7.29,57
1783930005,RAS502,24,41,7.29,65
1783930005,REC501A,23,39,7.29,62
1783930005,REC502,25,52,7.29,77
1783930005,REC503,19,35,7.29,54
1783930005,REC051,18,47,7.29,65
1783930005,REC551,46,42,7.29,88
1783930005,REC552,42,43,7.29,85
1783930005,REC553,43,42,7.29,85
1783930005,REC554,45,45,7.29,90
1783930005,RAS601,28,51,7.79,79
1783930005,RUC601,24,48,7.79,72
1783930005,RIC603,22,46,7.79,68
1783930005,REC601,27,50,7.79,77
1783930005,REC602,22,46,7.79,68
1783930005,REC064,18,44,7.79,62
1783930005,REC651,47,44,7.79,91
1783930005,REC652,43,43,7.79,86
1783930005,RIC653,43,43,7.79,86
1783930005,RIC651,42,43,7.79,85
1783930005,ROE072,25,39,8.13,64
1783930005,REC072,29,33,8.13,62
1783930005,REC075,27,44,8.13,71
1783930005,REC701,28,43,8.13,71
1783930005,REC702,27,53,8.13,80
1783930005,REC751,48,44,8.13,92
1783930005,REC752,41,44,8.13,85
1783930005,REC753,75,0,8.13,75
1783930005,REC754,160,0,8.13,160
1783930006,RAS101,21,43,7.46,64
1783930006,RAS102,19,44,7.46,63
1783930006,RAS103,22,40,7.46,62
1783930006,RME101,22,44,7.46,66
1783930006,RCS101,28,51,7.46,79
1783930006,RAS152,40,39,7.46,79
1783930006,RME151,42,42,7.46,84
1783930006,RCS151,48,48,7.46,96
1783930006,RCE151,40,38,7.46,78
1783930006,RAS203,15,31,7.13,46
1783930006,RAS201,15,50,7.13,65
1783930006,REE201,25,42,7.13,67
1783930006,RAS204,23,45,7.13,68
1783930006,REC201,21,45,7.13,66
1783930006,RAS251,40,43,7.13,83
1783930006,REE251,49,45,7.13,94
1783930006,RAS254,40,45,7.13,85
1783930006,RME252,44,44,7.13,88
1783930006,RAS301,18,33,6.71,51
1783930006,RVE301,17,38,6.71,55
1783930006,REE305,25,55,6.71,80
1783930006,REC301,23,30,6.71,53
1783930006,REC302,18,41,6.71,59
1783930006,REC303,22,23,6.71,45
1783930006,REC351,39,42,6.71,81
1783930006,REC352,40,39,6.71,79
1783930006,REC353,39,44,6.71,83
1783930006,REC354,37,45,6.71,82
1783930006,ROE047,25,42,7.83,67
1783930006,RAS402,24,43,7.83,67
1783930006,REC401,24,43,7.83,67
1783930006,REC402,17,60,7.83,77
1783930006,REC403,17,54,7.83,71
1783930006,RCS406,21,53,7.83,74
1783930006,REC451,44,42,7.83,86
1783930006,REC452,44,46,7.83,90
1783930006,REC453,40,42,7.83,82
1783930006,RCS456,47,44,7.83,91
1783930006,RAS501,26,48,7.29,74
1783930006,RAS502,24,45,7.29,69
1783930006,REC501A,22,40,7.29,62
1783930006,REC502,24,43,7.29,67
1783930006,REC503,16,32,7.29,48
1783930006,REC051,23,56,7.29,79
1783930006,REC551,44,45,7.29,89
1783930006,REC552,46,41,7.29,87
1783930006,REC553,37,40,7.29,77
1783930006,REC554,43,35,7.29,78
1783930006,RAS601,28,51,7.92,79
1783930006,RUC601,24,48,7.92,72
1783930006,RIC603,16,42,7.92,58
1783930006,REC601,29,51,7.92,80
1783930006,REC602,26,49,7.92,75
1783930006,REC064,18,44,7.92,62
1783930006,REC651,46,44,7.92,90
1783930006,REC652,44,43,7.92,87
1783930006,RIC653,34,40,7.92,74
1783930006,RIC651,45,44,7.92,89
1783930006,ROE072,25,43,8.29,68
1783930006,REC072,28,35,8.29,63
1783930006,REC075,28,44,8.29,72
1783930006,REC701,30,40,8.29,70
1783930006,REC702,28,50,8.29,78
1783930006,REC751,48,46,8.29,94
1783930006,REC752,40,46,8.29,86
1783930006,REC753,90,0,8.29,90
1783930006,REC754,180,0,8.29,180
1783930007,RAS101,17,28,6.5,45
1783930007,RAS102,19,41,6.5,60
1783930007,RAS103,22,37,6.5,59
1783930007,RME101,18,43,6.5,61
1783930007,RCS101,20,24,6.5,44
1783930007,RAS152,40,39,6.5,79
1783930007,RME151,40,43,6.5,83
1783930007,RCS151,40,41,6.5,81
1783930007,RCE151,44,39,6.5,83
1783930007,RAS203,15,49,6.67,64
1783930007,RAS201,15,44,6.67,59
1783930007,REE201,20,27,6.67,47
1783930007,RAS204,23,38,6.67,61
1783930007,REC201,15,43,6.67,58
1783930007,RAS251,42,44,6.67,86
1783930007,REE251,38,46,6.67,84
1783930007,RAS254,40,47,6.67,87
1783930007,RME252,31,43,6.67,74
1783930007,RAS301,16,41,7.0,57
1783930007,RVE301,22,35,7.0,57
1783930007,REE305,24,41,7.0,65
1783930007,REC301,22,45,7.0,67
1783930007,REC302,17,43,7.0,60
1783930007,REC303,17,53,7.0,70
1783930007,REC351,39,45,7.0,84
1783930007,REC352,34,38,7.0,72
1783930007,REC353,36,37,7.0,73
1783930007,REC354,28,37,7.0,65
1783930007,ROE047,20,49,7.08,69
1783930007,RAS402,22,50,7.08,72
1783930007,REC401,17,36,7.08,53
1783930007,REC402,16,55,7.08,71
1783930007,REC403,15,51,7.08,66
1783930007,RCS406,16,33,7.08,49
1783930007,REC451,38,39,7.08,77
1783930007,REC452,33,36,7.08,69
1783930007,REC453,37,40,7.08,77
1783930007,RCS456,41,41,7.08,82
1783930007,RAS501,25,47,7.54,72
1783930007,RAS502,25,39,7.54,64
1783930007,REC501A,20,32,7.54,52
1783930007,REC502,22,47,7.54,69
1783930007,REC503,21,55,7.54,76
1783930007,REC051,23,52,7.54,75
1783930007,REC551,37,47,7.54,84
1783930007,REC552,48,40,7.54,88
1783930007,REC553,38,40,7.54,78
1783930007,REC554,36,36,7.54,72
1783930007,RAS601,28,50,7.54,78
1783930007,RUC601,23,46,7.54,69
1783930007,RIC603,19,43,7.54,62
1783930007,REC601,19,43,7.54,62
1783930007,REC602,25,48,7.54,73
1783930007,REC064,22,45,7.54,67
1783930007,REC651,44,42,7.54,86
1783930007,REC652,41,41,7.54,82
1783930007,RIC653,40,41,7.54,81
1783930007,RIC651,33,39,7.54,72
1783930007,ROE072,24,32,7.5,56
1783930007,REC072,25,39,7.5,64
1783930007,REC075,25,37,7.5,62
1783930007,REC701,20,33,7.5,53
1783930007,REC702,25,49,7.5,74
1783930007,REC751,45,42,7.5,87
1783930007,REC752,36,42,7.5,78
1783930007,REC753,88,0,7.5,88
1783930007,REC754,180,0,7.5,180
1783930008,RAS101,16,56,7.33,72
1783930008,RAS102,22,33,7.33,55
1783930008,RAS103,25,51,7.33,76
1783930008,RME101,22,40,7.33,62
1783930008,RCS101,24,22,7.33,46
1783930008,RAS152,44,43,7.33,87
1783930008,RME151,42,46,7.33,88
1783930008,RCS151,44,40,7.33,84
1783930008,RCE151,43,42,7.33,85
1783930008,RAS203,19,42,7.13,61
1783930008,RAS201,15,41,7.13,56
1783930008,REE201,22,48,7.13,70
1783930008,RAS204,19,30,7.13,49
1783930008,REC201,16,50,7.13,66
1783930008,RAS251,38,44,7.13,82
1783930008,REE251,48,47,7.13,95
1783930008,RAS254,40,47,7.13,87
1783930008,RME252,33,45,7.13,78
1783930008,RAS301,18,38,6.88,56
1783930008,RVE301,20,32,6.88,52
1783930008,REE305,23,42,6.88,65
1783930008,REC301,24,36,6.88,60
1783930008,REC302,17,37,6.88,54
1783930008,REC303,22,54,6.88,76
1783930008,REC351,41,40,6.88,81
1783930008,REC352,36,34,6.88,70
1783930008,REC353,36,43,6.88,79
1783930008,REC354,37,35,6.88,72
1783930008,ROE047,21,44,6.71,65
1783930008,RAS402,22,30,6.71,52
1783930008,REC401,19,36,6.71,55
1783930008,REC402,17,47,6.71,64
1783930008,REC403,18,31,6.71,49
1783930008,RCS406,15,46,6.71,61
1783930008,REC451,37,35,6.71,72
1783930008,REC452,36,38,6.71,74
1783930008,REC453,37,39,6.71,76
1783930008,RCS456,41,42,6.71,83
1783930008,RAS501,26,42,6.63,68
1783930008,RAS502,23,33,6.63,56
1783930008,REC501A,22,42,6.63,64
1783930008,REC502,20,34,6.63,54
1783930008,REC503,16,49,6.63,65
1783930008,REC051,17,32,6.63,49
1783930008,REC551,42,47,6.63,89
1783930008,REC552,45,41,6.63,86
1783930008,REC553,37,40,6.63,77
1783930008,REC554,41,36,6.63,77
1783930008,RAS601,29,48,7.33,77
1783930008,RUC601,25,46,7.33,71
1783930008,RIC603,16,39,7.33,55
1783930008,REC601,19,41,7.33,60
1783930008,REC602,25,46,7.33,71
1783930008,REC064,16,39,7.33,55
1783930008,REC651,42,42,7.33,84
1783930008,REC652,42,42,7.33,84
1783930008,RIC653,37,40,7.33,77
1783930008,RIC651,35,40,7.33,75
1783930008,ROE072,23,33,6.79,56
1783930008,REC072,20,36,6.79,56
1783930008,REC075,21,41,6.79,62
1783930008,REC701,20,28,6.79,48
1783930008,REC702,21,35,6.79,56
1783930008,REC751,38,42,6.79,80
1783930008,REC752,47,42,6.79,89
1783930008,REC753,77,0,6.79,77
1783930008,REC754,160,0,6.79,160
1783930009,RAS101,22,27,7.79,49
1783930009,RAS102,28,50,7.79,78
1783930009,RAS103,24,49,7.79,73
1783930009,RME101,25,51,7.79,76
1783930009,RCS101,24,47,7.79,71
1783930009,RAS152,47,48,7.79,95
1783930009,RME151,42,45,7.79,87
1783930009,RCS151,44,48,7.79,92
1783930009,RCE151,42,39,7.79,81
1783930009,RAS203,19,49,8.0,68
1783930009,RAS201,18,53,8.0,71
1783930009,REE201,28,58,8.0,86
1783930009,RAS204,19,34,8.0,53
1783930009,REC201,25,51,8.0,76
1783930009,RAS251,44,45,8.0,89
1783930009,REE251,47,46,8.0,93
1783930009,RAS254,40,42,8.0,82
1783930009,RME252,43,40,8.0,83
1783930009,RAS301,26,30,7.29,56
1783930009,RVE301,19,47,7.29,66
1783930009,REE305,27,44,7.29,71
1783930009,REC301,23,41,7.29,64
1783930009,REC302,22,29,7.29,51
1783930009,REC303,28,49,7.29,77
1783930009,REC351,44,42,7.29,86
1783930009,REC352,40,42,7.29,82
1783930009,REC353,46,48,7.29,94
1783930009,REC354,41,40,7.29,81
1783930009,ROE047,21,43,5.58,64
1783930009,RAS402,17,23,5.58,40
1783930009,REC401,15,24,5.58,39
1783930009,REC402,16,49,5.58,65
1783930009,REC403,16,29,5.58,45
1783930009,RCS406,19,47,5.58,66
1783930009,REC451,35,37,5.58,72
1783930009,REC452,33,36,5.58,69
1783930009,REC453,36,39,5.58,75
1783930009,RCS456,30,38,5.58,68
1783930009,RAS501,22,44,5.92,66
1783930009,RAS502,21,24,5.92,45
1783930009,REC501A,19,38,5.92,57
1783930009,REC502,20,46,5.92,66
1783930009,REC503,19,56,5.92,75
1783930009,REC051,13,22,5.92,35
1783930009,REC551,44,47,5.92,91
1783930009,REC552,42,45,5.92,87
1783930009,REC553,38,44,5.92,82
1783930009,REC554,43,36,5.92,79
1783930009,RAS601,28,49,6.88,77
1783930009,RUC601,23,45,6.88,68
1783930009,RIC603,12,37,6.88,49
1783930009,REC601,23,45,6.88,68
1783930009,REC602,15,40,6.88,55
1783930009,REC064,21,44,6.88,65
1783930009,REC651,40,42,6.88,82
1783930009,REC652,35,41,6.88,76
1783930009,RIC653,30,39,6.88,69
1783930009,RIC651,30,39,6.88,69
1783930009,ROE072,25,29,6.83,54
1783930009,REC072,21,35,6.83,56
1783930009,REC075,22,38,6.83,60
1783930009,REC701,15,35,6.83,50
1783930009,REC702,22,33,6.83,55
1783930009,REC751,39,46,6.83,85
1783930009,REC752,41,46,6.83,87
1783930009,REC753,70,0,6.83,70
1783930009,REC754,140,0,6.83,140
1783930010,RAS101,15,47,7.42,62
1783930010,RAS102,20,45,7.42,65
1783930010,RAS103,22,51,7.42,73
1783930010,RME101,23,40,7.42,63
1783930010,RCS101,23,32,7.42,55
1783930010,RAS152,40,38,7.42,78
1783930010,RME151,45,41,7.42,86
1783930010,RCS151,43,40,7.42,83
1783930010,RCE151,44,39,7.42,83
1783930010,RAS203,15,32,7.13,47
1783930010,RAS201,20,45,7.13,65
1783930010,REE201,22,52,7.13,74
1783930010,RAS204,23,41,7.13,64
1783930010,REC201,16,42,7.13,58
1783930010,RAS251,44,43,7.13,87
1783930010,REE251,46,46,7.13,92
1783930010,RAS254,40,45,7.13,85
1783930010,RME252,36,44,7.13,80
1783930010,RAS301,18,31,6.67,49
1783930010,RVE301,22,44,6.67,66
1783930010,REE305,23,44,6.67,67
1783930010,REC301,25,27,6.67,52
1783930010,REC302,18,48,6.67,66
1783930010,REC303,19,48,6.67,67
1783930010,REC351,39,37,6.67,76
